,headline,date,time,neg,neu,pos,compound
15,"First Tesla Cybertruck Auctioned at $400K, but When Will Customers Get the EV?",2023-10-10,1900-01-01 05:19:29,0.0,1.0,0.0,0.0
16,Early Tesla Cybertruck goes for $400000 at auction,2023-10-09,1900-01-01 17:47:38,0.0,1.0,0.0,0.0
17,"Would You Pay $400,000 For a Tesla Cybertruck? Someone Just Did.",2023-10-09,1900-01-01 09:53:00,0.135,0.865,0.0,-0.1027
18,"Tesla Cybertruck early build auctioned for $400,000",2023-10-09,1900-01-01 21:40:14,0.0,1.0,0.0,0.0
19,"1 Stock-Split AI Growth Stock to Buy Now Before It Soars 860%, According to Cathie Wood's Ark Invest",2023-10-09,1900-01-01 14:36:00,0.0,0.86,0.14,0.3818
20,Tesla is building something called 'Giga Water Loop',2023-10-10,1900-01-01 09:15:00,0.0,1.0,0.0,0.0
21,Tesla to ramp up lithium refinery earlier than planned,2023-10-04,1900-01-01 19:12:00,0.0,1.0,0.0,0.0
22,Tesla Plans to Launch Cell Recycling Pilot Plant in Nevada,2023-10-09,1900-01-01 11:07:32,0.0,1.0,0.0,0.0
23,Curious project “Giga Water Loop” by Tesla surfaces,2023-10-09,1900-01-01 16:18:55,0.0,0.753,0.247,0.3182
24,"Tesla reported 435,059 deliveries for the third quarter, and production of 430,488 vehicles",2023-10-08,1900-01-01 16:42:32,0.0,1.0,0.0,0.0
25,Tesla Stock: Earnings Expectations Under Pressure After Deliveries Miss,2023-10-02,1900-01-01 07:00:00,0.352,0.648,0.0,-0.4215
26,Tesla's Q3 flop; Netflix's price hike; Rivian's plunge: Weekly tech roundup By Investing.com,2023-10-09,1900-01-01 20:29:00,0.167,0.833,0.0,-0.34
27,"Tesla's $25,000 EV Rendered With ""Futuristic"" Cybertruck Cues",2023-10-08,1900-01-01 13:53:00,0.0,1.0,0.0,0.0
28,Giant Tesla Megapack project turns on to stabilize the grid,2023-10-06,1900-01-01 16:43:00,0.0,1.0,0.0,0.0
29,150MW/300 MWh Tesla Megapack system in Australia goes live,2023-10-10,1900-01-01 13:35:00,0.0,1.0,0.0,0.0
30,New South Wales' largest battery system goes live - MINING.COM,2023-10-10,1900-01-01 11:30:51,0.0,1.0,0.0,0.0
31,Edify energizes 150 MW/300 MWh battery in Australia – pv magazine International,2023-10-09,1900-01-01 23:45:14,0.0,0.763,0.237,0.4767
32,Tesla workers in Germany join union as health and safety issues grow - union,2023-10-09,1900-01-01 07:30:39,0.0,0.688,0.312,0.6124
33,Over 1000 Tesla Gigafactory Berlin workers reportedly join union effort,2023-10-09,1900-01-01 15:38:00,0.0,0.804,0.196,0.296
34,IG Metall union claims Tesla workers are joining over health and safety concerns,2023-10-09,1900-01-01 16:34:00,0.0,0.811,0.189,0.4215
35,Growing Number Of Tesla Giga Berlin Workers Joining Union: Report,2023-10-10,1900-01-01 07:34:50,0.0,0.727,0.273,0.25
36,Tesla Model Y Surpasses 2 Million Sales! — CleanTechnica Exclusive,2023-10-10,1900-01-01 10:48:00,0.0,0.77,0.23,0.2003
37,A Look at Tesla's First V4 Superchargers in the U.S.,2023-10-10,1900-01-01 12:25:46,0.0,1.0,0.0,0.0
38,Audi is offering $20K off its sporty e-tron GT to rival Tesla's Model S,2023-10-10,1900-01-01 14:38:59,0.0,0.809,0.191,0.4278
